Depth (m),qc (MPa)
7.12,6.1930
7.14,6.0380
7.16,5.8010
7.18,5.6670
7.2,5.6600
7.22,5.6730
7.24,5.6740
7.26,5.7060
7.28,5.8180
7.3,5.9850
7.32,6.2780
7.34,6.7110
7.36,7.0180
7.38,7.2720
7.4,7.1770
7.42,7.0100
7.44,6.9430
7.46,6.9750
7.48,7.2410
7.5,7.6420
7.52,7.9780
7.54,8.3930
7.56,8.1270
7.58,7.9920
7.6,7.7500
7.62,7.8050
7.64,8.1030
7.66,8.4650
7.68,8.6220
7.7,8.6850
7.72,8.6210
7.74,8.0790
7.76,7.6340
7.78,6.7010
7.8,6.0310
7.82,5.3190
7.84,4.3570
7.86,4.2860
7.88,4.2160
7.9,4.1460
7.92,4.7880
7.94,5.4980
7.96,6.4860
7.98,7.4670
8,8.2420
8.02,8.4190
8.04,8.4550
8.06,8.3810
8.08,8.3840
8.1,8.4330
8.12,8.6170
8.14,8.7040
8.16,8.6720
8.18,8.5430
8.2,8.4960
8.22,8.4950
8.24,8.6750
8.26,8.8590
8.28,8.9130
8.3,8.8210
8.32,1.3190
8.34,1.9430
8.36,2.6020
8.38,2.8160
8.4,3.0940
8.42,3.8480
8.44,4.0830
8.46,4.2260
8.48,4.5380
8.5,4.7630
8.52,4.8470
8.54,4.6120
8.56,4.4890
8.58,4.4330
8.6,4.3780
8.62,4.3220
8.64,4.7280
8.66,5.3850
8.68,5.7910
8.7,6.0810
8.72,6.5790
8.74,7.2600
8.76,7.5470
8.78,7.5700
8.8,7.5200
8.82,7.4030
8.84,7.2300
8.86,7.0640
8.88,7.1530
8.9,7.9200
8.92,8.7160
8.94,10.4990
8.96,11.0030
8.98,11.5510
9,11.3410
9.02,11.0270
9.04,10.5280
9.06,9.8430
9.08,9.3640
9.1,8.8860
9.12,8.3110
9.14,8.0420
9.16,7.7240
9.18,7.4560
9.2,7.2570
9.22,7.3030
9.24,7.3440
9.26,7.5550
9.28,7.9340
9.3,8.3840
9.32,8.7880
9.34,9.0070
9.36,8.9320
9.38,8.2660
9.4,7.8700
9.42,7.7500
9.44,7.6310
9.46,7.5110
9.48,7.9570
9.5,8.3090
9.52,8.4490
