Depth (m),qc (MPa)
10.14,11.9201
10.16,12.2165
10.18,12.3006
10.2,12.5396
10.22,12.9911
10.24,13.4050
10.26,13.6646
10.28,14.1188
10.3,14.4378
10.32,14.3559
10.34,13.9590
10.36,13.8753
10.38,13.6255
10.4,12.9617
10.42,13.1885
10.44,13.3103
10.46,14.1927
10.48,14.5829
10.5,14.5760
10.52,14.3378
10.54,13.6539
10.56,12.9976
10.58,12.8134
10.6,12.5954
10.62,12.4958
10.64,12.2527
10.66,11.5097
10.68,11.2976
10.7,11.1986
10.72,11.0481
10.74,10.7705
10.76,10.4897
10.78,10.4355
10.8,10.2132
10.82,9.9907
10.84,9.7173
10.86,9.7448
10.88,9.8596
10.9,10.1755
10.92,10.1847
10.94,10.1913
10.96,10.2304
10.98,10.2589
11,10.2628
11.02,9.8796
11.04,9.8558
11.06,9.8509
11.08,10.4151
11.1,10.4759
11.12,0.0000
11.14,7.1833
11.16,9.1868
11.18,10.6318
11.2,11.8506
11.22,12.1144
11.24,12.1180
11.26,12.0483
11.28,11.9798
11.3,11.7081
11.32,11.3330
11.34,10.8219
11.36,10.4313
11.38,10.3617
11.4,10.4884
11.42,10.6136
11.44,10.4488
11.46,10.1332
11.48,9.9429
11.5,9.6837
11.52,9.2290
11.54,8.8837
11.56,8.6145
11.58,8.3573
11.6,8.3626
11.62,8.4237
11.64,8.5157
11.66,8.7342
11.68,8.8412
11.7,8.9661
11.72,9.0275
11.74,9.1416
11.76,9.1708
11.78,9.3757
11.8,9.6470
11.82,9.9013
11.84,10.1255
11.86,10.1684
11.88,10.1746
11.9,10.1344
11.92,10.0422
11.94,9.9923
11.96,9.8555
11.98,9.8201
12,9.8223
12.02,9.8841
12.04,9.9477
12.06,10.0865
12.08,10.1572
12.1,10.2462
12.12,10.2467
12.14,10.1745
12.16,10.0728
12.18,9.7426
12.2,9.0805
12.22,8.6299
12.24,8.2321
12.26,7.7831
12.28,7.5491
12.3,7.5143
12.32,7.2912
12.34,7.1224
12.36,6.9915
12.38,6.9342
12.4,7.1929
12.42,8.1304
12.44,8.6649
12.46,8.4426
12.48,7.9810
12.5,7.6961
12.52,7.4663
12.54,7.3713
12.56,7.1884
12.58,6.9479
12.6,6.4543
12.62,6.4177
12.64,6.3063
12.66,6.2939
12.68,6.3081
12.7,6.2529
12.72,6.1943
12.74,6.1527
12.76,6.1081
12.78,6.0659
12.8,6.1434
12.82,6.4190
12.84,6.9518
12.86,7.4491
12.88,7.9748
12.9,8.6050
12.92,8.8942
12.94,9.0708
12.96,9.2683
12.98,9.6423
13,9.8720
13.02,9.5891
13.04,9.0573
13.06,8.4801
13.08,8.1737
13.1,7.9470
13.12,7.8804
13.14,7.9753
13.16,8.0406
13.18,8.0136
13.2,7.8647
13.22,7.5618
13.24,6.4885
13.26,6.3985
13.28,6.0277
13.3,5.6875
13.32,5.5191
13.34,5.5814
13.36,5.6022
13.38,5.7019
13.4,5.8099
13.42,5.9402
13.44,5.9957
13.46,6.0404
13.48,6.1841
13.5,6.4129
13.52,6.7764
13.54,7.1386
13.56,7.2774
13.58,7.0954
13.6,6.5593
13.62,6.1533
13.64,5.7892
13.66,5.5988
13.68,5.4835
13.7,5.4424
13.72,5.4907
13.74,5.5490
13.76,5.5901
13.78,5.5933
13.8,5.5487
13.82,5.4785
13.84,5.4452
13.86,5.3717
13.88,0.0000
13.9,4.6597
13.92,5.1865
13.94,5.3367
13.96,5.4825
13.98,5.5214
14,5.4957
14.02,5.5566
14.04,5.6260
14.06,5.7526
14.08,5.8327
14.1,6.0170
14.12,6.2693
14.14,6.5671
14.16,6.7443
14.18,6.9186
14.2,7.0487
14.22,7.1598
14.24,7.5797
14.26,7.6389
14.28,8.1998
14.3,8.2867
14.32,8.6206
14.34,8.8878
14.36,8.8706
14.38,8.6732
14.4,8.5512
14.42,8.4702
14.44,8.4331
14.46,8.5589
14.48,8.7101
14.5,8.7407
14.52,8.7971
14.54,8.6602
14.56,8.3088
14.58,7.3636
14.6,6.7787
14.62,6.2414
14.64,5.7197
14.66,5.5761
14.68,5.5580
14.7,5.4941
14.72,5.4468
14.74,5.5450
14.76,5.4084
14.78,5.3830
14.8,5.2531
14.82,5.2864
14.84,5.4278
14.86,5.9374
14.88,6.1239
14.9,6.5149
14.92,6.9889
14.94,7.1782
14.96,6.7842
14.98,6.3024
15,5.9198
15.02,5.5953
15.04,5.4117
15.06,5.2812
15.08,5.3879
15.1,5.5001
15.12,5.5733
15.14,5.6040
15.16,5.6245
15.18,5.7237
15.2,5.8914
15.22,6.1113
15.24,6.3613
15.26,6.5537
15.28,6.7773
15.3,6.7969
15.32,6.7461
15.34,6.6353
15.36,6.4147
15.38,6.2295
15.4,5.9953
15.42,5.8731
15.44,5.8830
15.46,5.9089
15.48,6.0604
15.5,6.1997
15.52,6.4282
15.54,6.6030
15.56,6.8203
15.58,7.2245
15.6,7.7161
15.62,8.1339
15.64,8.6799
15.66,9.0866
15.68,9.2023
15.7,9.0572
15.72,8.6268
15.74,8.3110
15.76,7.3770
15.78,6.3306
15.8,6.2570
15.82,6.0509
15.84,6.0999
15.86,6.3151
15.88,6.6457
15.9,7.0680
15.92,7.0921
15.94,7.1025
15.96,7.0109
15.98,6.8104
16,6.7800
16.02,6.8561
16.04,6.9976
16.06,7.0452
16.08,7.2415
16.1,7.2891
16.12,7.3445
16.14,7.2330
16.16,7.1650
16.18,7.2626
16.2,7.2785
16.22,7.2704
16.24,7.2645
16.26,7.2432
16.28,7.2358
16.3,7.2718
16.32,7.3647
16.34,7.5742
16.36,7.7012
16.38,8.1621
16.4,8.2209
16.42,8.5751
16.44,9.0743
16.46,10.0189
16.48,10.0702
16.5,10.1249
16.52,10.0242
16.54,9.9898
16.56,9.9327
16.58,9.7724
16.6,9.6176
16.62,9.5799
16.64,9.6050
16.66,0.0000
16.68,8.3103
16.7,8.5648
16.72,9.2340
16.74,10.2823
16.76,10.6422
16.78,10.6707
16.8,10.5608
16.82,10.3730
16.84,10.2270
16.86,10.3355
16.88,10.5268
16.9,10.5605
16.92,10.8765
16.94,11.0107
16.96,11.1206
16.98,10.8717
17,10.6141
17.02,10.5248
17.04,10.4468
17.06,10.3637
17.08,10.5500
17.1,10.5782
17.12,10.7022
17.14,10.7794
17.16,10.8180
17.18,10.8864
17.2,10.8280
17.22,10.7427
17.24,10.6906
17.26,10.6273
17.28,10.5288
17.3,10.3891
17.32,10.3673
17.34,10.3108
17.36,9.8843
17.38,9.4182
17.4,8.7514
17.42,8.4644
17.44,8.5188
17.46,8.9099
17.48,9.6368
17.5,10.1270
17.52,10.2549
17.54,9.9645
17.56,8.8638
17.58,8.7343
17.6,8.3434
17.62,7.4497
17.64,7.3937
17.66,7.1771
17.68,7.1568
17.7,6.9322
17.72,6.9265
17.74,6.9614
17.76,7.0372
17.78,7.0955
17.8,7.7602
17.82,7.8680
17.84,8.2878
17.86,9.1301
17.88,9.1782
17.9,9.5796
17.92,10.0285
17.94,10.5622
17.96,11.2968
17.98,11.9721
18,12.7040
18.02,13.2113
18.04,13.1540
18.06,12.7458
18.08,12.3066
18.1,12.1700
18.12,11.9714
18.14,11.5473
18.16,10.5966
18.18,10.5590
18.2,11.0487
18.22,11.1620
18.24,11.7763
18.26,12.1526
18.28,12.1475
18.3,12.0495
18.32,11.5847
18.34,11.5176
18.36,11.1054
18.38,10.3429
18.4,10.2751
18.42,9.9675
18.44,10.2215
18.46,11.0393
18.48,11.3130
18.5,12.2228
18.52,12.2679
18.54,12.2898
18.56,12.0283
18.58,11.7803
18.6,11.4902
18.62,11.0702
18.64,10.6440
18.66,10.5671
18.68,10.2578
18.7,9.9229
18.72,9.7022
18.74,9.8373
18.76,9.7930
18.78,9.5370
18.8,9.2252
18.82,8.9959
18.84,8.9856
18.86,8.9555
18.88,8.8535
18.9,8.6325
18.92,7.8361
18.94,7.7409
18.96,7.3524
18.98,7.3258
19,7.1704
19.02,7.1702
19.04,7.1194
19.06,6.6476
19.08,6.2871
19.1,5.8592
19.12,5.7033
19.14,5.7586
19.16,5.9710
19.18,6.3987
19.2,6.4678
19.22,7.1229
19.24,7.2046
19.26,7.5572
19.28,7.5787
19.3,7.4697
19.32,7.2760
19.34,7.2778
19.36,7.4053
19.38,7.6163
19.4,7.8352
19.42,0.0000
19.44,6.4609
19.46,6.8230
19.48,7.2359
19.5,7.7414
19.52,8.4608
19.54,8.5234
19.56,8.7954
19.58,8.9555
19.6,9.1338
19.62,9.3372
19.64,9.8071
19.66,10.2155
19.68,10.2741
19.7,10.5721
19.72,10.9364
19.74,11.2270
19.76,11.4396
19.78,11.4551
19.8,11.3197
19.82,10.8829
19.84,10.8615
19.86,10.7310
19.88,10.5983
19.9,10.6123
19.92,11.0082
19.94,11.4495
19.96,11.5945
19.98,11.4135
20,11.4020
20.02,11.4240
20.04,11.4829
20.06,11.4271
20.08,11.1553
20.1,10.4572
20.12,10.3761
20.14,10.0914
20.16,9.3700
20.18,9.2938
20.2,9.0058
20.22,8.9984
20.24,9.4582
20.26,10.3336
20.28,10.3791
20.3,10.3569
20.32,10.2045
20.34,9.4043
20.36,9.2183
20.38,8.8936
20.4,8.6450
20.42,8.4810
20.44,8.3899
20.46,8.4506
20.48,8.5580
20.5,8.6905
20.52,8.6635
20.54,8.6621
20.56,8.7786
20.58,8.9175
20.6,9.0932
20.62,9.3475
20.64,9.4518
20.66,9.4347
20.68,9.2438
20.7,8.7483
20.72,8.1823
20.74,7.7179
20.76,7.5984
20.78,8.2779
20.8,8.5616
20.82,9.0338
20.84,9.0511
20.86,9.2426
20.88,9.7093
20.9,10.4032
20.92,10.8971
20.94,10.9118
20.96,11.2653
20.98,11.4759
21,11.9260
21.02,12.4117
21.04,12.4475
21.06,12.4645
21.08,12.4940
21.1,12.5586
21.12,12.6736
21.14,12.7836
21.16,12.6881
21.18,12.5591
21.2,12.4564
21.22,11.7846
21.24,11.6481
21.26,10.9791
21.28,9.9583
21.3,8.2856
21.32,7.8215
21.34,6.8869
21.36,6.3415
21.38,6.3199
21.4,6.4549
21.42,7.2703
21.44,7.5634
21.46,8.2842
21.48,9.1035
21.5,9.6969
21.52,9.9133
21.54,9.8109
21.56,9.3902
21.58,8.9495
21.6,8.7960
21.62,8.7125
21.64,8.6916
21.66,8.6459
21.68,8.4579
21.7,8.2954
21.72,8.3403
21.74,9.0620
21.76,9.1923
21.78,9.6463
21.8,10.3703
21.82,10.7631
21.84,11.0655
21.86,11.3783
21.88,11.5870
21.9,11.7124
21.92,11.7574
21.94,11.9366
21.96,11.9367
21.98,11.9548
22,11.7424
22.02,11.4715
22.04,10.8614
22.06,10.3895
22.08,9.4139
22.1,8.4540
22.12,7.3936
22.14,7.2154
22.16,6.4759
22.18,6.4485
22.2,0.0000
22.22,4.6718
22.24,4.6644
22.26,4.6933
22.28,5.2471
22.3,6.8796
22.32,7.0774
22.34,7.8291
22.36,8.5112
22.38,8.5708
22.4,8.3538
22.42,7.8924
22.44,7.3440
22.46,6.9994
22.48,6.5322
22.5,6.4732
22.52,6.5306
22.54,6.9047
22.56,7.8766
22.58,8.8115
22.6,9.9917
22.62,9.9362
22.64,9.7996
22.66,9.7604
22.68,9.9357
22.7,10.2923
22.72,10.4713
22.74,10.0602
22.76,8.8846
22.78,8.8024
22.8,8.5569
22.82,8.4814
22.84,8.5011
22.86,8.5491
22.88,8.4456
22.9,8.0467
22.92,7.9559
22.94,7.8492
22.96,7.9886
22.98,8.4869
23,8.4112
23.02,8.2628
23.04,7.5976
23.06,7.0430
23.08,6.5712
23.1,6.6089
23.12,7.0184
23.14,7.4477
23.16,7.8493
23.18,8.2347
23.2,8.3627
23.22,8.6776
23.24,9.2234
23.26,10.2087
23.28,11.1590
23.3,11.6330
23.32,11.4866
23.34,11.4409
23.36,11.0476
23.38,10.3950
23.4,9.8389
23.42,9.0745
23.44,7.7743
23.46,7.6115
23.48,6.8419
23.5,6.4132
23.52,6.4839
23.54,6.6531
23.56,7.0049
23.58,7.2391
23.6,7.4408
23.62,7.6840
23.64,7.7010
23.66,7.6232
23.68,7.6763
23.7,7.9198
23.72,8.2597
23.74,8.6191
23.76,8.6635
23.78,8.9144
23.8,9.2360
23.82,9.9654
23.84,10.0734
23.86,10.4911
23.88,11.0708
23.9,11.0265
23.92,10.3701
23.94,10.2887
23.96,9.4202
23.98,9.3443
24,9.1718
24.02,8.8658
24.04,8.1217
24.06,7.1421
24.08,7.0378
24.1,7.1243
24.12,8.3754
24.14,9.9396
24.16,10.0238
24.18,10.0593
24.2,9.6954
24.22,9.2091
24.24,9.3483
24.26,10.7416
24.28,10.6762
24.3,10.5996
24.32,10.1809
24.34,9.5260
24.36,8.8859
24.38,9.0805
24.4,9.4099
24.42,10.1446
24.44,11.0919
24.46,11.7419
24.48,12.8964
24.5,13.6037
24.52,13.7179
24.54,14.3451
24.56,14.4367
24.58,14.4664
24.6,14.3110
24.62,13.5135
24.64,12.5061
24.66,11.5496
24.68,10.8043
24.7,10.5893
24.72,10.4483
24.74,10.4148
24.76,10.0887
24.78,9.2553
24.8,8.7076
24.82,8.0448
24.84,7.6876
24.86,7.8662
24.88,8.5194
24.9,8.9430
24.92,9.1563
24.94,9.4139
24.96,9.8351
24.98,0.0000
25,7.1848
25.02,7.6248
25.04,7.5405
25.06,7.2847
25.08,7.1664
25.1,7.3823
25.12,8.0540
25.14,8.3796
25.16,9.0786
25.18,9.1396
25.2,9.4390
25.22,9.4158
25.24,9.5761
25.26,9.5941
25.28,9.6295
25.3,9.5590
25.32,9.5544
25.34,9.8044
25.36,10.5882
25.38,10.2755
25.4,9.3900
25.42,8.5909
25.44,7.8942
25.46,7.7701
25.48,7.5917
25.5,7.9851
25.52,8.1852
25.54,7.9623
25.56,7.9443
25.58,8.3321
25.6,8.7889
25.62,8.7397
25.64,8.4540
25.66,8.0041
25.68,8.5131
25.7,8.6589
25.72,9.5449
25.74,10.2000
25.76,10.6530
25.78,11.2916
25.8,11.2736
25.82,11.0828
25.84,10.5728
25.86,9.6158
25.88,9.9395
25.9,10.0531
25.92,11.2535
25.94,11.5732
25.96,11.8123
25.98,12.0731
26,11.7527
26.02,10.7661
26.04,9.8851
26.06,8.7874
26.08,8.4789
26.1,8.5350
26.12,9.3850
26.14,9.5592
26.16,10.7675
26.18,11.5482
26.2,12.7550
26.22,12.7917
26.24,12.4908
26.26,12.3789
26.28,11.8425
26.3,11.3790
26.32,11.2855
26.34,11.4103
26.36,11.4332
26.38,10.5433
26.4,10.3485
26.42,9.8458
26.44,10.1535
26.46,10.6941
26.48,12.2907
26.5,13.5128
26.52,14.1034
26.54,14.1558
26.56,14.1487
26.58,14.0795
26.6,13.9050
26.62,13.3255
26.64,12.2373
26.66,12.1710
26.68,11.9742
26.7,11.8867
26.72,11.9459
26.74,11.9894
26.76,12.1695
26.78,12.5717
26.8,12.8143
26.82,13.1528
26.84,12.7001
26.86,12.5648
26.88,12.1724
26.9,11.0452
26.92,10.0493
26.94,9.9659
26.96,10.2475
26.98,11.0059
27,11.8235
27.02,13.0092
27.04,13.1073
27.06,12.5111
27.08,11.5386
27.1,11.4186
27.12,11.0517
27.14,10.7258
27.16,10.6019
27.18,11.4388
27.2,11.5135
27.22,12.0168
27.24,12.3267
27.26,12.4479
27.28,12.5466
27.3,12.6248
27.32,12.7589
27.34,12.7009
27.36,13.0669
27.38,13.0714
27.4,13.2200
27.42,13.3471
27.44,13.3526
27.46,13.3608
27.48,13.1730
27.5,13.1443
27.52,13.1044
27.54,12.9590
27.56,12.9242
27.58,13.0378
27.6,13.1749
27.62,13.3971
27.64,13.6262
27.66,13.7907
27.68,13.9543
27.7,13.8979
27.72,13.8851
27.74,13.8046
27.76,13.7189
27.78,0.0000
27.8,9.6171
27.82,10.4826
27.84,11.1321
27.86,11.2954
27.88,11.3754
27.9,11.4665
27.92,12.2125
27.94,13.0164
27.96,13.1966
27.98,13.0770
28,12.4583
28.02,11.9300
28.04,11.8673
28.06,11.6890
28.08,11.4477
28.1,11.1560
28.12,11.0100
28.14,10.6488
28.16,10.3133
28.18,10.0822
28.2,9.9291
28.22,9.9344
28.24,9.9190
28.26,9.9285
28.28,9.9383
28.3,9.9466
28.32,10.0041
28.34,10.0030
28.36,10.0284
28.38,10.3283
28.4,10.5925
28.42,11.2279
28.44,11.2798
28.46,11.5420
28.48,11.7161
28.5,12.3127
28.52,12.5447
28.54,13.1012
28.56,13.1814
28.58,13.4906
28.6,13.5099
28.62,12.6840
28.64,12.5308
28.66,11.7429
28.68,11.4805
28.7,11.3673
28.72,11.7813
28.74,11.8594
28.76,11.9091
28.78,12.0533
28.8,12.1761
28.82,12.3069
28.84,12.5229
28.86,12.6921
28.88,12.7091
28.9,12.7055
28.92,12.6129
28.94,12.5509
28.96,12.6864
28.98,12.9837
29,13.0750
29.02,12.6499
29.04,10.2514
29.06,9.0026
29.08,8.1463
29.1,6.5539
29.12,5.1074
29.14,5.1337
29.16,6.0360
29.18,7.3430
29.2,7.8136
29.22,8.1212
29.24,8.4009
29.26,7.8576
29.28,7.5074
29.3,7.3816
29.32,7.3138
29.34,7.3769
29.36,7.6391
29.38,8.3430
29.4,8.3967
29.42,8.3736
29.44,7.9155
29.46,7.8421
29.48,8.0780
29.5,8.2404
29.52,8.9673
29.54,9.4513
29.56,9.8430
29.58,9.8818
29.6,9.5190
29.62,9.3464
29.64,7.4785
29.66,7.2926
29.68,6.6588
29.7,6.5122
29.72,6.3112
29.74,5.7564
29.76,5.2487
29.78,5.4107
29.8,5.4055
29.82,5.3366
29.84,4.9688
29.86,5.5659
29.88,6.7150
29.9,7.7979
29.92,8.9965
29.94,9.1176
29.96,9.4855
29.98,10.6804
30,11.4107
30.02,12.6536
30.04,13.7722
30.06,13.8553
30.08,14.1850
30.1,14.1716
30.12,14.0453
30.14,13.6974
30.16,13.1590
30.18,12.4479
30.2,12.1195
30.22,11.9659
30.24,12.0009
30.26,12.1248
30.28,12.1853
30.3,12.3555
30.32,12.4153
30.34,12.4056
30.36,12.2510
30.38,11.6110
30.4,10.7842
30.42,10.4128
30.44,9.5759
30.46,9.4950
30.48,8.9127
30.5,8.8698
30.52,9.0445
30.54,0.0000
30.56,3.9274
30.58,5.6965
30.6,5.9938
30.62,7.0387
30.64,8.0216
30.66,8.2309
30.68,8.2424
30.7,7.7170
30.72,6.8813
30.74,6.7685
30.76,6.5113
30.78,6.5416
30.8,6.4657
30.82,6.2959
30.84,5.4456
30.86,6.3531
30.88,7.0745
30.9,8.2843
30.92,9.3206
30.94,9.7399
30.96,9.8787
30.98,10.6016
31,12.4548
31.02,12.5574
31.04,12.7637
31.06,12.8408
31.08,12.6385
31.1,12.6645
31.12,12.7922
31.14,13.0797
31.16,13.2288
31.18,12.9198
