Depth (m),qc (MPa)
0.02,0.2084
0.04,0.3814
0.06,0.6230
0.08,0.6451
0.1,0.7508
0.12,0.3270
0.14,0.3746
0.16,0.3851
0.18,0.5365
0.2,1.0157
0.22,1.3087
0.24,0.9112
0.26,0.7768
0.28,0.7801
0.3,0.8818
0.32,0.9464
0.34,1.6273
0.36,1.7124
0.38,1.9470
0.4,2.2179
0.42,1.9772
0.44,1.8017
0.46,2.0316
0.48,2.1348
0.5,2.1584
0.52,2.3986
0.54,2.7732
0.56,3.0633
0.58,2.6578
0.6,2.7988
0.62,2.8500
0.64,3.2647
0.66,3.9713
0.68,4.0237
0.7,3.8871
0.72,3.7253
0.74,3.7537
0.76,3.7861
0.78,4.0447
0.8,4.3341
0.82,4.3147
0.84,3.9972
0.86,3.9651
0.88,4.1077
0.9,4.6062
0.92,4.7910
0.94,4.8448
0.96,5.0352
0.98,4.8129
1,4.6916
1.02,4.5469
1.04,4.4612
1.06,4.5113
1.08,4.7260
1.1,5.0944
1.12,5.1823
1.14,5.1993
1.16,5.0953
1.18,4.9889
1.2,4.9184
1.22,4.8663
1.24,4.9373
1.26,5.0615
1.28,5.2131
1.3,5.4071
1.32,5.6432
1.34,5.9109
1.36,6.1228
1.38,6.3427
1.4,6.3813
1.42,6.3371
1.44,6.5625
1.46,6.7511
1.48,6.7566
1.5,6.7587
1.52,6.7598
1.54,6.7948
1.56,6.8502
1.58,6.9131
1.6,6.8526
1.62,6.9778
1.64,7.3344
1.66,7.4710
1.68,7.5066
1.7,7.2879
1.72,7.1189
1.74,7.0688
1.76,6.9066
1.78,6.8279
1.8,6.6868
1.82,6.5991
1.84,6.4137
1.86,6.2997
1.88,6.1382
1.9,6.0873
1.92,6.1941
1.94,6.2370
1.96,6.2537
1.98,6.3076
2,6.3747
2.02,6.5427
2.04,6.7755
2.06,6.7872
2.08,6.8194
2.1,6.8316
2.12,7.4729
2.14,7.5577
2.16,7.9979
2.18,8.1802
2.2,8.1120
2.22,7.8914
2.24,7.8774
2.26,7.6205
2.28,7.4706
2.3,6.8632
2.32,6.7951
2.34,6.7914
2.36,6.8002
2.38,6.8481
2.4,7.0098
2.42,7.1419
2.44,7.3876
2.46,7.5893
2.48,7.6317
2.5,7.5720
2.52,7.5718
2.54,7.6906
2.56,7.9386
2.58,8.1594
2.6,8.3870
2.62,8.4310
2.64,8.7244
2.66,8.2663
2.68,7.9398
2.7,7.7873
2.72,7.8896
2.74,7.9574
2.76,8.4876
2.78,8.5212
2.8,0.0000
2.82,4.7027
2.84,4.9988
2.86,6.7774
2.88,7.4183
2.9,7.6308
2.92,7.6052
2.94,7.9376
2.96,7.9618
2.98,8.0541
3,8.2258
3.02,8.2344
3.04,8.2016
3.06,8.1411
3.08,8.2152
3.1,8.3336
3.12,8.3590
3.14,8.4412
3.16,8.4359
3.18,8.2953
3.2,8.2085
3.22,7.7562
3.24,7.7099
3.26,7.5251
3.28,7.6222
3.3,7.6413
3.32,7.6762
3.34,7.7245
3.36,7.7157
3.38,7.6534
3.4,7.6190
3.42,7.4539
3.44,7.4066
3.46,7.2545
3.48,7.0728
3.5,6.9415
3.52,6.9405
3.54,6.8585
3.56,6.2170
3.58,6.1592
3.6,5.9652
3.62,5.9530
3.64,6.0430
3.66,6.1021
3.68,6.2941
3.7,6.2869
3.72,6.3072
3.74,6.5033
3.76,6.7279
3.78,6.9817
3.8,7.3007
3.82,7.4670
3.84,7.5599
3.86,7.3201
3.88,7.0465
3.9,6.7841
3.92,6.5431
3.94,6.4962
3.96,6.6695
3.98,6.8756
4,7.1169
4.02,7.3888
4.04,7.5381
4.06,7.6503
4.08,8.0301
4.1,8.3924
4.12,9.0010
4.14,9.9830
4.16,10.0628
4.18,10.2808
4.2,10.2448
4.22,9.9775
4.24,10.0003
4.26,10.2866
4.28,10.3271
4.3,9.9055
4.32,9.1432
4.34,9.0329
4.36,8.2418
4.38,7.8587
4.4,7.2793
4.42,6.8387
4.44,6.8649
4.46,7.2795
4.48,7.4067
4.5,8.3593
4.52,8.5054
4.54,9.3664
4.56,9.3818
4.58,9.4198
4.6,9.2630
4.62,9.1675
4.64,9.1869
4.66,9.4290
4.68,9.7154
4.7,9.9750
4.72,10.1098
4.74,9.9227
4.76,9.8812
4.78,9.8146
4.8,9.7013
4.82,9.6824
4.84,9.6651
4.86,9.6063
4.88,9.2860
4.9,8.7826
4.92,8.7386
4.94,8.5795
4.96,8.5780
4.98,8.5985
5,8.7187
5.02,8.7499
5.04,9.4975
5.06,9.5717
5.08,9.6976
5.1,9.6570
5.12,9.8081
5.14,9.9129
5.16,9.9141
5.18,10.1504
5.2,10.1985
5.22,10.3892
5.24,10.8094
5.26,10.8445
5.28,11.0528
5.3,11.2377
5.32,11.4124
5.34,11.4182
5.36,11.4244
5.38,11.2958
5.4,10.9943
5.42,10.9641
5.44,10.6337
5.46,10.4173
5.48,9.3624
5.5,9.0054
5.52,8.1856
5.54,6.9129
5.56,0.0000
5.58,4.0195
5.6,4.2961
5.62,4.7803
5.64,5.6056
5.66,6.8194
5.68,6.9259
5.7,7.2828
5.72,7.3025
5.74,7.1590
5.76,7.0293
5.78,7.0602
5.8,7.1195
5.82,7.0859
5.84,7.0594
5.86,7.1027
5.88,7.1805
5.9,7.2664
5.92,7.2752
5.94,7.1981
5.96,7.1954
5.98,7.5328
6,7.9349
6.02,8.1393
6.04,8.3866
6.06,8.9171
6.08,9.2803
6.1,9.3966
6.12,9.4096
6.14,9.4238
6.16,9.3185
6.18,9.1357
6.2,8.9169
6.22,8.7619
6.24,8.7101
6.26,8.5879
6.28,8.4672
6.3,8.4563
6.32,8.3518
6.34,8.4013
6.36,8.3332
6.38,8.3656
6.4,8.0733
6.42,7.5057
6.44,6.8669
6.46,6.6075
6.48,6.5486
6.5,6.6574
6.52,6.9652
6.54,7.8527
6.56,8.7429
6.58,9.1396
6.6,9.3664
6.62,9.5239
6.64,9.4467
6.66,9.2855
6.68,9.2219
6.7,9.2638
6.72,9.4669
6.74,9.6196
6.76,9.5183
6.78,9.1764
6.8,8.7763
6.82,8.0102
6.84,7.4730
6.86,7.0564
6.88,6.9680
6.9,7.0471
6.92,7.1097
6.94,7.0295
6.96,6.9969
6.98,7.1502
7,7.4648
7.02,7.7940
7.04,8.3010
7.06,8.9918
7.08,9.4990
7.1,9.8241
7.12,9.9350
7.14,10.0144
7.16,10.1520
7.18,10.3982
7.2,10.5195
7.22,10.3208
7.24,10.0208
7.26,9.9421
7.28,9.9309
7.3,9.9361
7.32,9.7332
7.34,9.3903
7.36,8.8927
7.38,8.4482
7.4,7.9423
7.42,7.6238
7.44,7.3105
7.46,6.9601
7.48,6.7144
7.5,6.7315
7.52,6.8994
7.54,6.8378
7.56,6.6876
7.58,6.7765
7.6,7.1104
7.62,7.8489
7.64,8.5619
7.66,8.9849
7.68,9.2654
7.7,9.2400
7.72,9.0189
7.74,9.0325
7.76,9.0960
7.78,9.2299
7.8,9.2145
7.82,9.0402
7.84,8.8645
7.86,8.7805
7.88,8.8386
7.9,8.9326
7.92,9.3328
7.94,9.8692
7.96,10.3005
7.98,10.6138
8,10.7542
8.02,10.7390
8.04,10.6557
8.06,10.4587
8.08,10.0946
8.1,9.6760
8.12,9.4673
8.14,9.5251
8.16,9.8532
8.18,9.9757
8.2,9.7590
8.22,9.3138
8.24,8.8698
8.26,8.4304
8.28,8.1068
8.3,7.9178
8.32,0.0000
8.34,4.9042
8.36,5.4450
8.38,6.4062
8.4,7.3511
8.42,7.6966
8.44,7.7343
8.46,7.8338
8.48,7.8078
8.5,7.9337
8.52,7.9958
8.54,8.3249
8.56,8.4451
8.58,8.7336
8.6,9.0521
8.62,9.1063
8.64,9.4789
8.66,9.5296
8.68,10.2548
8.7,10.5473
8.72,10.9791
8.74,11.4790
8.76,11.5248
8.78,11.6337
8.8,11.7042
8.82,11.7858
8.84,11.7732
8.86,11.5941
8.88,11.1635
8.9,10.3365
8.92,10.2163
8.94,9.6043
8.96,8.5626
8.98,8.2627
9,7.5295
9.02,7.1018
9.04,6.5919
9.06,5.9496
9.08,5.7346
9.1,5.5651
9.12,5.5593
9.14,5.6264
9.16,5.8786
9.18,6.1957
9.2,7.0413
9.22,7.2684
9.24,7.6438
9.26,7.8115
9.28,7.7384
9.3,7.6428
9.32,7.5406
9.34,7.7941
9.36,7.9595
9.38,8.9785
9.4,9.1898
9.42,9.2716
9.44,9.7458
9.46,10.1299
9.48,10.1131
9.5,9.6837
9.52,9.6919
9.54,9.7264
9.56,10.2231
9.58,10.8191
9.6,11.0734
9.62,11.3803
9.64,11.2688
9.66,11.0858
9.68,11.5916
9.7,11.7178
9.72,12.6519
9.74,12.2340
9.76,12.1382
9.78,11.6180
9.8,11.0899
9.82,10.7299
9.84,10.5136
9.86,10.5841
9.88,10.6088
9.9,10.8376
9.92,11.6843
9.94,12.1835
9.96,12.9652
9.98,13.5250
10,13.7843
10.02,13.7287
10.04,13.5752
10.06,13.1500
10.08,12.8300
10.1,12.7452
10.12,12.3188
